Ns3 X,Ns3 Y,Ns2 X,Ns2 Y,N5.6x6 X,N5.6x6 Y,N.25x1 X,N.25x1 Y,Ps2 X,Ps2 Y,Ps3 X,Ps3 Y,P3x1 X,P3x1 Y,P.5x2 X,P.5x2 Y,P2x1 X,P2x1 Y,P1.92x1 X,P1.92x1 Y,P1x3 X,P1x3 Y,P.25x20 X,P.25x20 Y,Ps.5 X,Ps.5 Y,P1x2 X,P1x2 Y,CA_P X,CA_P Y,CA_N X,CA_N Y,Ps.25 X,Ps.25 Y,Ns.3 X,Ns.3 Y,P2x.3 X,P2x.3 Y,N1.92x1 X,N1.92x1 Y,N2x1 X,N2x1 Y
1.202264434617413e-11,1.043267783540767,1.202264434617413e-11,0.9371898938287614,1.202264434617413e-11,0.6371872121048778,1.202264434617413e-11,1.517245007128097,1.202264434617413e-11,0.4684240086542476,1.202264434617413e-11,0.4610633565834388,1.202264434617413e-11,0.2838347260250931,1.202264434617413e-11,1.434974618743182,1.202264434617413e-11,0.3333115861017785,1.202264434617413e-11,0.3400117029251923,1.202264434617413e-11,0.9645594282559607,1.202264434617413e-11,88.36917107146624,1.202264434617413e-11,0.6390696627897366,1.202264434617413e-11,0.7254428787116695,1.202264434617413e-11,1.07140365156635,1.202264434617413e-11,1.017042666934498,1.202264434617413e-11,2.017010410061388,1.202264434617413e-11,1.972142308029016,1.202264434617413e-11,0.2801897243668136,1.202264434617413e-11,0.7489934602327899,1.202264434617413e-11,0.7465769765900423
1.737800828749375e-11,1.047550252316013,1.737800828749375e-11,0.9310794422690946,1.737800828749375e-11,0.6273342807444939,1.737800828749375e-11,1.567389803188639,1.737800828749375e-11,0.4398839636959126,1.737800828749375e-11,0.4321457727307662,1.737800828749375e-11,0.2453811803934973,1.737800828749375e-11,1.453201083498194,1.737800828749375e-11,0.2933570078420091,1.737800828749375e-11,0.3002859654725905,1.737800828749375e-11,0.9626178803810636,1.737800828749375e-11,91.01222722276788,1.737800828749375e-11,0.6172754702783877,1.737800828749375e-11,0.7106382575594503,1.737800828749375e-11,0.9568402921418712,1.737800828749375e-11,1.108039173026147,1.737800828749375e-11,2.024127094052746,1.737800828749375e-11,2.041153980100691,1.737800828749375e-11,0.2411572336171341,1.737800828749375e-11,0.723490144993245,1.737800828749375e-11,0.7208183807239936
2.511886431509579e-11,1.050962219785908,2.511886431509579e-11,0.9262430814090896,2.511886431509579e-11,0.6200477162849251,2.511886431509579e-11,1.607355213639102,2.511886431509579e-11,0.4194449935497966,2.511886431509579e-11,0.4114460027048138,2.511886431509579e-11,0.2178412249631924,2.511886431509579e-11,1.464608659946827,2.511886431509579e-11,0.2657404721328884,2.511886431509579e-11,0.2728303834177991,2.511886431509579e-11,0.9612445572736174,2.511886431509579e-11,92.25174249546902,2.511886431509579e-11,0.600794230176628,2.511886431509579e-11,0.7000281392469665,2.511886431509579e-11,0.8758371225888653,2.511886431509579e-11,1.187988801061836,2.511886431509579e-11,2.013439315236536,2.511886431509579e-11,2.087371441584811,2.511886431509579e-11,0.21299946949656,2.511886431509579e-11,0.7028635063701804,2.511886431509579e-11,0.6999767465279521
3.630780547701012e-11,1.053639777602194,3.630780547701012e-11,0.9224781745089978,3.630780547701012e-11,0.614934804920467,3.630780547701012e-11,1.638912026000845,3.630780547701012e-11,0.4049356634657271,3.630780547701012e-11,0.3967629271505498,3.630780547701012e-11,0.1982895030547685,3.630780547701012e-11,1.471107418118216,3.630780547701012e-11,0.2466254426400806,3.630780547701012e-11,0.2538283899567372,3.630780547701012e-11,0.9603018506040043,3.630780547701012e-11,92.49244803624256,3.630780547701012e-11,0.5881950993030068,3.630780547701012e-11,0.6924952474790383,3.630780547701012e-11,0.8191962777565019,3.630780547701012e-11,1.25407179951462,3.630780547701012e-11,1.990134607186511,3.630780547701012e-11,2.114883480616065,3.630780547701012e-11,0.1927715092244968,3.630780547701012e-11,0.6863175547283562,3.630780547701012e-11,0.683247371364031
5.248074602497723e-11,1.055730460860345,5.248074602497723e-11,0.9195669346131295,5.248074602497723e-11,0.6115519392122025,5.248074602497723e-11,1.66394845990953,5.248074602497723e-11,0.3946816849332365,5.248074602497723e-11,0.3863996869083684,5.248074602497723e-11,0.1844704791206658,5.248074602497723e-11,1.474146752949316,5.248074602497723e-11,0.2333647879948409,5.248074602497723e-11,0.2406469803001539,5.248074602497723e-11,0.959685025945153,5.248074602497723e-11,92.03525594772888,5.248074602497723e-11,0.5783592005329217,5.248074602497723e-11,0.6871784254637553,5.248074602497723e-11,0.7798685944311046,5.248074602497723e-11,1.305941868314185,5.248074602497723e-11,1.957950854007594,5.248074602497723e-11,2.127666286482064,5.248074602497723e-11,0.1781982506499462,5.248074602497723e-11,0.672981664335736,5.248074602497723e-11,0.6697501868557919
7.585775750291833e-11,1.057367732502695,7.585775750291833e-11,0.9173131786979816,7.585775750291833e-11,0.6094984561870499,7.585775750291833e-11,1.684174755322129,7.585775750291833e-11,0.3874381578564575,7.585775750291833e-11,0.3790949817504923,7.585775750291833e-11,0.1747071881921906,7.585775750291833e-11,1.474791249074901,7.585775750291833e-11,0.2241307306970558,7.585775750291833e-11,0.2314683378531087,7.585775750291833e-11,0.9593182462724534,7.585775750291833e-11,91.09667722282225,7.585775750291833e-11,0.5704419324875482,7.585775750291833e-11,0.6834380373487201,7.585775750291833e-11,0.7526622777131731,7.585775750291833e-11,1.344957538992421,7.585775750291833e-11,1.919492362098114,7.585775750291833e-11,2.129076264692208,7.585775750291833e-11,0.1675834689654372,7.585775750291833e-11,0.662058436908476,7.585775750291833e-11,0.6586789710725267
1.096478196143184e-10,1.058660985209759,1.096478196143184e-10,0.915556493937532,1.096478196143184e-10,0.6084501186413905,1.096478196143184e-10,1.701012282642078,1.096478196143184e-10,0.3823004715932564,1.096478196143184e-10,0.3739327370298603,1.096478196143184e-10,0.1677812457424315,1.096478196143184e-10,1.473807563375491,1.096478196143184e-10,0.2176601577083927,1.096478196143184e-10,0.2250363524901035,1.096478196143184e-10,0.9591489357538572,1.096478196143184e-10,89.82911310919356,1.096478196143184e-10,0.5638183434884433,1.096478196143184e-10,0.6808101756790406,1.096478196143184e-10,0.7338540730890861,1.096478196143184e-10,1.373285416899807,1.096478196143184e-10,1.876530502739739,1.096478196143184e-10,2.121708704480749,1.096478196143184e-10,0.1596900973285971,1.096478196143184e-10,0.6528823080056479,1.096478196143184e-10,0.6493604819328013
1.584893192461112e-10,1.05969446851633,1.584893192461112e-10,0.9141735054509493,1.584893192461112e-10,0.6081616446933894,1.584893192461112e-10,1.715586626540062,1.584893192461112e-10,0.3786206574622448,1.584893192461112e-10,0.3702573030895678,1.584893192461112e-10,0.1628202175347708,1.584893192461112e-10,1.47174179965162,1.584893192461112e-10,0.2130792117035777,1.584893192461112e-10,0.2204820743350288,1.584893192461112e-10,0.9591423014873379,1.584893192461112e-10,88.33825845297397,1.584893192461112e-10,0.558030305287142,1.584893192461112e-10,0.6789635353903322,1.584893192461112e-10,0.7208219292866698,1.584893192461112e-10,1.393224072970919,1.584893192461112e-10,1.830251271604459,1.584893192461112e-10,2.107446780033251,1.584893192461112e-10,0.1536280263806592,1.584893192461112e-10,0.6449267064346362,1.584893192461112e-10,0.6412616835842008
2.290867652767771e-10,1.060530315744886,2.290867652767771e-10,0.9130732889612283,2.290867652767771e-10,0.6084562014867907,2.290867652767771e-10,1.72876641018501,2.290867652767771e-10,0.3759384859609666,2.290867652767771e-10,0.3676036082147482,2.290867652767771e-10,0.1592048736885007,2.290867652767771e-10,1.468981191148103,2.290867652767771e-10,0.2097824061877564,2.290867652767771e-10,0.2172034394362713,2.290867652767771e-10,0.9592766361475893,2.290867652767771e-10,86.69672243414625,2.290867652767771e-10,0.5527424253847235,2.290867652767771e-10,0.6776637634748961,2.290867652767771e-10,0.7117420449448861,2.290867652767771e-10,1.406828733183673,2.290867652767771e-10,1.781445765329607,2.290867652767771e-10,2.087584543817122,2.290867652767771e-10,0.1487620660283731,2.290867652767771e-10,0.6377876655136886,2.290867652767771e-10,0.6339732306318833
3.311311214825908e-10,1.061212886131437,3.311311214825908e-10,0.9121909726539322,3.311311214825908e-10,0.6092112538488,3.311311214825908e-10,1.741214264131358,3.311311214825908e-10,0.3739284288188705,3.311311214825908e-10,0.3656433985711332,3.311311214825908e-10,0.1564978396026413,3.311311214825908e-10,1.465800249151579,3.311311214825908e-10,0.2073493491215521,3.311311214825908e-10,0.2147824237473063,3.311311214825908e-10,0.9595394459079346,3.311311214825908e-10,84.95417504957445,3.311311214825908e-10,0.54770799755871,3.311311214825908e-10,0.6767458531128646,3.311311214825908e-10,0.7053563104847166,3.311311214825908e-10,1.415769593286506,3.311311214825908e-10,1.730652178907516,3.311311214825908e-10,2.062962514959382,3.311311214825908e-10,0.1446416437652509,3.311311214825908e-10,0.6311601752563266,3.311311214825908e-10,0.627185657029988
