fine_value,U_N_0,U_N_1,U_N_2,U_N_3,U_N_4,U_N_5,U_P_0,U_P_1,U_P_2,U_P_3,U_P_4,U_P_5,V_N_0,V_N_1,V_N_2,V_N_3,V_N_4,V_N_5,V_P_0,V_P_1,V_P_2,V_P_3,V_P_4,V_P_5,,DAC nmos0 U offset form ideal,,,DAC nmos5 U offset form ideal
245,6.87687595567465E-11,5.48824745642158E-10,4.37560000939442E-09,3.48427490356598E-08,2.77574596582769E-07,2.18177667272079E-06,6.41147873076977E-11,5.1384948585158E-10,4.11779304532648E-09,3.29551038880217E-08,2.65086961554896E-07,2.15126937358682E-06,0.266921039126457,0.346820842496098,0.430391224607438,0.521972354948853,0.626610774759071,0.767328953506485,1.46387237982501,1.38634206981774,1.30455446521665,1.21412668327796,1.10847629997708,0.948948928313838,,-0.28%,,,-0.24%
244,6.84534702290383E-11,5.46335218231615E-10,4.35505580104815E-09,3.46731350996274E-08,2.76170191997301E-07,2.17121546065637E-06,6.3808335098347E-11,5.11208984160519E-10,4.09841691330999E-09,3.27944525338579E-08,2.63742607775046E-07,2.14052283460399E-06,0.26674609113716,0.346643112250134,0.430194569284878,0.521743931024956,0.626329860541034,0.766896097312167,1.4640426815016,1.38651815576033,1.30474787499427,1.21435265259124,1.1087675059641,0.94948378943074,,-0.33%,,,-0.32%
243,6.81784633685203E-11,5.43878152263173E-10,4.33727752104731E-09,3.45302861663298E-08,2.75054986245628E-07,2.16336743205746E-06,6.35635605814109E-11,5.09182884782863E-10,4.08163479257094E-09,3.26588086203982E-08,2.62653134272212E-07,2.13272454976719E-06,0.266593053062258,0.346476771355878,0.430023673838446,0.521550736423056,0.626105903510247,0.76657354921763,1.46418676727799,1.3866724450242,1.30491609522482,1.21454425446212,1.10900539789846,0.949874732883972,,-0.33%,,,-0.27%
242,6.78629665675782E-11,5.41565163436874E-10,4.31673755247555E-09,3.43606652172784E-08,2.73650572297265E-07,2.15280414959164E-06,6.32566048091406E-11,5.07023211521893E-10,4.06225736165401E-09,3.24982513890245E-08,2.61313326914136E-07,2.12224302757999E-06,0.26641678593803,0.346300369414497,0.429825396387722,0.521320356694739,0.62582273676422,0.766138227346969,1.4643613804449,1.38685014467841,1.30511114983477,1.21477201158302,1.10929809261892,0.950398576039328,,-0.38%,,,-0.35%
241,6.75582572073475E-11,5.39142158204003E-10,4.29727999964003E-09,3.42013196563449E-08,2.72355655036208E-07,2.14332223281155E-06,6.29839884776619E-11,5.04762498252284E-10,4.04389795344852E-09,3.2346916834968E-08,2.60054576755627E-07,2.11272819282561E-06,0.266245933864473,0.346125178896202,0.429636734833566,0.521102957564862,0.625560520477798,0.765746277261536,1.46452576949605,1.3870195290689,1.30529677447011,1.21498765158574,1.10957538491832,0.950877278564226,,-0.42%,,,-0.38%
240,6.72367533287995E-11,5.36630536901572E-10,4.2767351695789E-09,3.40316940444238E-08,2.70951282191271E-07,2.13275583722466E-06,6.2683941813654E-11,5.02342962894311E-10,4.02451349758747E-09,3.21861620110061E-08,2.58710963482943E-07,2.10221858330901E-06,0.26606436944954,0.345942409251005,0.429436643242274,0.520870484859507,0.625274905571418,0.765308189733029,1.46469535224658,1.38719880895021,1.30549363426642,1.21521775089731,1.10987102337945,0.951405803338615,,-0.48%,,,-0.46%
239,6.71038892856973E-11,5.35359488516622E-10,4.2685711321584E-09,3.39888564659238E-08,2.70899662808534E-07,2.13189282253448E-06,6.25597928738746E-11,5.00983120111754E-10,4.01776649482084E-09,3.21456983289143E-08,2.58658768772861E-07,2.10138506688876E-06,0.265995966158289,0.345860244573983,0.429356876456291,0.520811603574449,0.62526438282587,0.765272375437746,1.46476644899796,1.38728103281339,1.30556236527037,1.21527583866913,1.10987995249059,0.95144811639075,,-0.26%,,,-0.08%
238,6.67825399107727E-11,5.32937112737655E-10,4.2480289788141E-09,3.38188878778985E-08,2.69490407070653E-07,2.12132390169507E-06,6.22596516816146E-11,4.98827867380995E-10,3.99838259699328E-09,3.1984429766877E-08,2.57307298896916E-07,2.09090672460443E-06,0.265806740766635,0.345672559551927,0.429155522653623,0.520577288374521,0.624976422958859,0.764832630350462,1.46494449811944,1.38746163431513,1.30576043907767,1.21550802993844,1.11018202761398,0.951977231514974,,-0.33%,,,-0.16%
237,6.64839940743387E-11,5.30508705346869E-10,4.22858084230282E-09,3.36595326522503E-08,2.68200035699789E-07,2.11183922903487E-06,6.19800421961662E-11,4.96660333297212E-10,3.98001222582237E-09,3.18336754517649E-08,2.56050854397852E-07,2.081363932505E-06,0.26563664355459,0.345494429625961,0.428964033296373,0.520356597322628,0.624711598001219,0.764436788924273,1.46511573431801,1.38763370741871,1.30594900042513,1.21572607565698,1.1104624727184,0.952461478692114,,-0.35%,,,-0.19%
236,6.61619878507641E-11,5.27998950455615E-10,4.20802380164083E-09,3.34903887953572E-08,2.66793530900587E-07,2.10126885790256E-06,6.16800915368929E-11,4.94190978691442E-10,3.96062900893558E-09,3.16727440783273E-08,2.54704700714883E-07,2.0707135376777E-06,0.265451874966428,0.34530889035595,0.428760708531874,0.520121273331265,0.624421666001978,0.763994295539953,1.46528761603266,1.38781571034778,1.30614885720282,1.21595990987022,1.11076241461326,0.953001700737476,,-0.42%,,,-0.27%
235,6.58791545235864E-11,5.25793285052774E-10,4.19024045377661E-09,3.33475163975829E-08,2.65680241868661E-07,2.09341535398137E-06,6.14288789713711E-11,4.92186672643269E-10,3.94384753594229E-09,3.1537619293192E-08,2.53612636136866E-07,2.06290791713588E-06,0.265298524871751,0.345145377193377,0.428584050601347,0.519921628215622,0.624191226384844,0.76366459015843,1.46544248229195,1.38797524902577,1.30632264030656,1.21615710715865,1.11100792659947,0.95340057458518,,-0.42%,,,-0.22%
234,6.55727047459296E-11,5.2329170606641E-10,4.16970689066481E-09,3.31774789833041E-08,2.64276149334349E-07,2.08284311324194E-06,6.11288610664394E-11,4.89735987947618E-10,3.92445360157368E-09,3.13762825882121E-08,2.5227681355573E-07,2.05228009571801E-06,0.265111860360279,0.344959111767559,0.428379178948321,0.519682973438278,0.623899384672211,0.763219478930563,1.46561693792244,1.38815896943426,1.30652435500769,1.21639359555755,1.11130829574318,0.953941959497867,,-0.47%,,,-0.31%
233,6.52727434046373E-11,5.2082393399351E-10,4.1502539324959E-09,3.30181042010684E-08,2.62981515424701E-07,2.07335434469428E-06,6.0849311033841E-11,4.87573210516179E-10,3.90607819276441E-09,3.12256937093205E-08,2.51020200689837E-07,2.04283994552027E-06,0.264937871365049,0.344774809159856,0.42818419764369,0.519458238309518,0.623629087983042,0.762818732362108,1.4657916242721,1.38833425494327,1.30671635242724,1.21661535873763,1.11159346552382,0.954426238766405,,-0.50%,,,-0.34%
232,6.49585198444265E-11,5.18316011041451E-10,4.12969227853234E-09,3.28484695464879E-08,2.61576810967232E-07,2.0627790770084E-06,6.05492389642906E-11,4.85096714330092E-10,3.88669891268013E-09,3.10640910669521E-08,2.49674215279399E-07,2.03229849617987E-06,0.264754236984567,0.344586018309814,0.427977151843586,0.519217912997796,0.623334488265594,0.762370684259597,1.46596623754959,1.38851961419087,1.30691977159992,1.21685445735024,1.11189831927044,0.954966712865898,,-0.55%,,,-0.42%
